ID;Name;Firstname;Lastname;Gender;Subject;Marks
12a-0;"Budipa Simon";Simon;Budipa;M;math;2,5,2
12a-0;"Budipa Simon";Simon;Budipa;M;history;2,1,1,4
12a-0;"Budipa Simon";Simon;Budipa;M;biology;4,1,2,4
12a-0;"Budipa Simon";Simon;Budipa;M;chemistry;1,3
12a-0;"Budipa Simon";Simon;Budipa;M;physics;5,2,1,3,3
12a-0;"Budipa Simon";Simon;Budipa;M;informatics;5,5
12a-0;"Budipa Simon";Simon;Budipa;M;alchemy;1
12a-0;"Budipa Simon";Simon;Budipa;M;astrology;4,1,5,5
12a-1;"Víz Nóra";Nóra;Víz;F;math;4,1,1,3
12a-1;"Víz Nóra";Nóra;Víz;F;history;4,4,1
12a-1;"Víz Nóra";Nóra;Víz;F;biology;2,3
12a-1;"Víz Nóra";Nóra;Víz;F;chemistry;4,3,5,2
12a-1;"Víz Nóra";Nóra;Víz;F;physics;3,5,2,3,3
12a-1;"Víz Nóra";Nóra;Víz;F;informatics;5,3,3,1,1
12a-1;"Víz Nóra";Nóra;Víz;F;alchemy;5,3,4,1,4
12a-1;"Víz Nóra";Nóra;Víz;F;astrology;5,5
12a-2;"Riz Virág";Virág;Riz;F;math;5,5,4,5
12a-2;"Riz Virág";Virág;Riz;F;history;3,1,2
12a-2;"Riz Virág";Virág;Riz;F;biology;4
12a-2;"Riz Virág";Virág;Riz;F;chemistry;3,4,5,1,5
12a-2;"Riz Virág";Virág;Riz;F;physics;2,1,1,2,3
12a-2;"Riz Virág";Virág;Riz;F;informatics;4,2
12a-2;"Riz Virág";Virág;Riz;F;alchemy;4,3,3,1
12a-2;"Riz Virág";Virág;Riz;F;astrology;1,5,3,2
12a-3;"Kandisz Zita";Zita;Kandisz;F;math;4,2,2,2
12a-3;"Kandisz Zita";Zita;Kandisz;F;history;2,3,4,3
12a-3;"Kandisz Zita";Zita;Kandisz;F;biology;2,2,2
12a-3;"Kandisz Zita";Zita;Kandisz;F;chemistry;1,5
12a-3;"Kandisz Zita";Zita;Kandisz;F;physics;3,3,2,1
12a-3;"Kandisz Zita";Zita;Kandisz;F;informatics;5
12a-3;"Kandisz Zita";Zita;Kandisz;F;alchemy;4,2,2,4,1
12a-3;"Kandisz Zita";Zita;Kandisz;F;astrology;3,5
12a-4;"Bor Simon";Simon;Bor;M;math;"nincs jegy"
12a-4;"Bor Simon";Simon;Bor;M;history;"nincs jegy"
12a-4;"Bor Simon";Simon;Bor;M;biology;3,3,3
12a-4;"Bor Simon";Simon;Bor;M;chemistry;2,3,4,3
12a-4;"Bor Simon";Simon;Bor;M;physics;5
12a-4;"Bor Simon";Simon;Bor;M;informatics;3
12a-4;"Bor Simon";Simon;Bor;M;alchemy;"nincs jegy"
12a-4;"Bor Simon";Simon;Bor;M;astrology;3
12a-5;"Lapos Csaba";Csaba;Lapos;M;math;"nincs jegy"
12a-5;"Lapos Csaba";Csaba;Lapos;M;history;3
12a-5;"Lapos Csaba";Csaba;Lapos;M;biology;"nincs jegy"
12a-5;"Lapos Csaba";Csaba;Lapos;M;chemistry;2,2
12a-5;"Lapos Csaba";Csaba;Lapos;M;physics;4,5,1
12a-5;"Lapos Csaba";Csaba;Lapos;M;informatics;2,1
12a-5;"Lapos Csaba";Csaba;Lapos;M;alchemy;4
12a-5;"Lapos Csaba";Csaba;Lapos;M;astrology;"nincs jegy"
